Sales Person;Geography;Product;Amount;Units
Ram Mahesh;UK;Manuka Honey Choco;$0 ;135
Gunar Cockshoot;UK;Mint Chip Choco;$21 ;168
Brien Boise;New Zealand;70% Dark Bites;$42 ;150
Barr Faughny;Australia;Milk Bars;$56 ;51
Oby Sorrel;Australia;Milk Bars;$63 ;123
Husein Augar;USA;Baker's Choco Chips;$98 ;159
Carla Molina;Canada;Baker's Choco Chips;$98 ;204
Carla Molina;Australia;White Choc;$154 ;21
Brien Boise;Australia;After Nines;$168 ;84
Gigi Bohling;New Zealand;Smooth Sliky Salty;$182 ;48
Barr Faughny;Canada;Eclairs;$189 ;48
Ram Mahesh;Canada;Almond Choco;$217 ;36
Barr Faughny;New Zealand;99% Dark & Pure;$238 ;18
Oby Sorrel;New Zealand;Spicy Special Slims;$245 ;288
Barr Faughny;India;Milk Bars;$252 ;54
Husein Augar;New Zealand;Almond Choco;$259 ;207
Ches Bonnell;Canada;Choco Coated Almonds;$280 ;87
Carla Molina;India;After Nines;$336 ;144
Brien Boise;USA;Peanut Butter Cubes;$357 ;126
Gigi Bohling;UK;Drinking Coco;$385 ;249
Brien Boise;New Zealand;Spicy Special Slims;$434 ;87
Curtice Advani;Australia;White Choc;$469 ;75
Gigi Bohling;USA;After Nines;$490 ;84
Curtice Advani;Canada;Spicy Special Slims;$497 ;63
Gigi Bohling;New Zealand;After Nines;$518 ;75
Curtice Advani;India;Almond Choco;$525 ;48
Barr Faughny;USA;99% Dark & Pure;$553 ;15
Curtice Advani;New Zealand;70% Dark Bites;$560 ;81
Oby Sorrel;USA;Spicy Special Slims;$567 ;228
Ram Mahesh;Australia;Baker's Choco Chips;$609 ;87
Carla Molina;USA;99% Dark & Pure;$609 ;99
Ram Mahesh;Australia;85% Dark Bars;$623 ;51
Barr Faughny;UK;Fruit & Nut Bars;$630 ;36
Oby Sorrel;India;Eclairs;$700 ;87
Husein Augar;India;Eclairs;$707 ;174
Carla Molina;New Zealand;Raspberry Choco;$714 ;231
Barr Faughny;Canada;Organic Choco Syrup;$798 ;519
Gunar Cockshoot;USA;Peanut Butter Cubes;$819 ;306
Brien Boise;Australia;Milk Bars;$819 ;510
Carla Molina;USA;Organic Choco Syrup;$847 ;129
Carla Molina;Canada;Caramel Stuffed Bars;$854 ;309
Gigi Bohling;India;99% Dark & Pure;$861 ;195
Curtice Advani;Australia;Mint Chip Choco;$938 ;6
Husein Augar;India;Mint Chip Choco;$938 ;189
Gunar Cockshoot;New Zealand;Almond Choco;$938 ;366
Oby Sorrel;Canada;Milk Bars;$945 ;75
Curtice Advani;Australia;Peanut Butter Cubes;$959 ;135
Husein Augar;USA;Almond Choco;$959 ;147
Ches Bonnell;UK;Organic Choco Syrup;$966 ;198
Gunar Cockshoot;Canada;Caramel Stuffed Bars;$973 ;162
Barr Faughny;New Zealand;50% Dark Bites;$1.057 ;54
Curtice Advani;USA;Orange Choco;$1.071 ;270
Husein Augar;New Zealand;Manuka Honey Choco;$1.085 ;273
Curtice Advani;Australia;Organic Choco Syrup;$1.134 ;282
Carla Molina;India;Mint Chip Choco;$1.274 ;225
Gunar Cockshoot;Canada;99% Dark & Pure;$1.281 ;18
Ches Bonnell;Australia;50% Dark Bites;$1.281 ;75
Curtice Advani;USA;Almond Choco;$1.302 ;402
Curtice Advani;Canada;Manuka Honey Choco;$1.400 ;135
Oby Sorrel;Canada;Organic Choco Syrup;$1.407 ;72
Oby Sorrel;India;White Choc;$1.428 ;93
Curtice Advani;India;Raspberry Choco;$1.442 ;15
Carla Molina;India;Eclairs;$1.463 ;39
Curtice Advani;New Zealand;Drinking Coco;$1.505 ;102
Gigi Bohling;Canada;70% Dark Bites;$1.526 ;105
Carla Molina;New Zealand;70% Dark Bites;$1.526 ;240
Brien Boise;UK;Baker's Choco Chips;$1.561 ;27
Ches Bonnell;India;White Choc;$1.568 ;96
Barr Faughny;UK;After Nines;$1.568 ;141
Barr Faughny;USA;Eclairs;$1.589 ;303
Ram Mahesh;USA;Manuka Honey Choco;$1.617 ;126
Ram Mahesh;New Zealand;70% Dark Bites;$1.624 ;114
Ram Mahesh;USA;85% Dark Bars;$1.638 ;48
Curtice Advani;UK;70% Dark Bites;$1.638 ;63
Gigi Bohling;India;Peanut Butter Cubes;$1.652 ;93
Gunar Cockshoot;UK;Caramel Stuffed Bars;$1.652 ;102
Brien Boise;Australia;Fruit & Nut Bars;$1.701 ;234
Brien Boise;New Zealand;99% Dark & Pure;$1.771 ;204
Ches Bonnell;Australia;Drinking Coco;$1.778 ;270
Barr Faughny;UK;White Choc;$1.785 ;462
Brien Boise;New Zealand;After Nines;$1.890 ;195
Curtice Advani;New Zealand;Mint Chip Choco;$1.904 ;405
Carla Molina;Canada;99% Dark & Pure;$1.925 ;192
Ches Bonnell;India;50% Dark Bites;$1.932 ;369
Oby Sorrel;USA;Orange Choco;$1.974 ;195
Ram Mahesh;Australia;Smooth Sliky Salty;$1.988 ;39
Brien Boise;India;Mint Chip Choco;$2.009 ;219
Barr Faughny;UK;Mint Chip Choco;$2.016 ;117
Gunar Cockshoot;USA;Fruit & Nut Bars;$2.023 ;78
Brien Boise;USA;Manuka Honey Choco;$2.023 ;168
Curtice Advani;UK;White Choc;$2.100 ;414
Gunar Cockshoot;USA;Manuka Honey Choco;$2.114 ;66
Carla Molina;USA;Raspberry Choco;$2.114 ;186
Ches Bonnell;USA;Mint Chip Choco;$2.135 ;27
Husein Augar;Canada;White Choc;$2.142 ;114
Ches Bonnell;Canada;Smooth Sliky Salty;$2.149 ;117
Ches Bonnell;India;Orange Choco;$2.205 ;138
Oby Sorrel;Australia;After Nines;$2.205 ;141
Gunar Cockshoot;India;Fruit & Nut Bars;$2.212 ;117
Curtice Advani;India;Mint Chip Choco;$2.219 ;75
Ches Bonnell;India;Peanut Butter Cubes;$2.226 ;48
Brien Boise;Australia;Organic Choco Syrup;$2.268 ;63
Ram Mahesh;USA;70% Dark Bites;$2.275 ;447
Ram Mahesh;India;Organic Choco Syrup;$2.289 ;135
Curtice Advani;Australia;Milk Bars;$2.317 ;123
Oby Sorrel;Canada;Fruit & Nut Bars;$2.317 ;261
Carla Molina;New Zealand;Baker's Choco Chips;$2.324 ;177
Husein Augar;Australia;Eclairs;$2.408 ;9
Gigi Bohling;USA;Drinking Coco;$2.415 ;15
Gunar Cockshoot;USA;50% Dark Bites;$2.415 ;255
Husein Augar;USA;Organic Choco Syrup;$2.429 ;144
Husein Augar;Australia;Baker's Choco Chips;$2.436 ;99
Gunar Cockshoot;USA;White Choc;$2.464 ;234
Oby Sorrel;Canada;Manuka Honey Choco;$2.471 ;342
Ches Bonnell;USA;Organic Choco Syrup;$2.478 ;21
Ram Mahesh;Australia;Manuka Honey Choco;$2.541 ;45
Ram Mahesh;Australia;White Choc;$2.541 ;90
Oby Sorrel;USA;Raspberry Choco;$2.562 ;6
Gunar Cockshoot;India;Orange Choco;$2.583 ;18
Husein Augar;UK;Drinking Coco;$2.639 ;204
Husein Augar;Australia;Mint Chip Choco;$2.646 ;120
Ches Bonnell;Canada;Drinking Coco;$2.646 ;177
Curtice Advani;Australia;Smooth Sliky Salty;$2.681 ;54
Brien Boise;USA;Orange Choco;$2.702 ;363
Husein Augar;New Zealand;Fruit & Nut Bars;$2.737 ;93
Gigi Bohling;USA;Almond Choco;$2.744 ;9
Ram Mahesh;India;Fruit & Nut Bars;$2.779 ;75
Ches Bonnell;USA;85% Dark Bars;$2.793 ;114
Husein Augar;New Zealand;Baker's Choco Chips;$2.856 ;246
Barr Faughny;New Zealand;Raspberry Choco;$2.863 ;42
Ches Bonnell;Canada;99% Dark & Pure;$2.870 ;300
Gigi Bohling;India;Manuka Honey Choco;$2.891 ;102
Husein Augar;New Zealand;Caramel Stuffed Bars;$2.919 ;45
Gunar Cockshoot;India;Eclairs;$2.919 ;93
Carla Molina;New Zealand;Spicy Special Slims;$2.933 ;9
Husein Augar;Canada;Choco Coated Almonds;$2.954 ;189
Curtice Advani;UK;85% Dark Bars;$2.989 ;3
Curtice Advani;UK;Manuka Honey Choco;$3.052 ;378
Oby Sorrel;New Zealand;Caramel Stuffed Bars;$3.059 ;27
Barr Faughny;Canada;Smooth Sliky Salty;$3.094 ;246
Ram Mahesh;UK;Caramel Stuffed Bars;$3.101 ;225
Gunar Cockshoot;India;Baker's Choco Chips;$3.108 ;54
Ram Mahesh;Canada;Organic Choco Syrup;$3.164 ;306
Husein Augar;UK;White Choc;$3.192 ;72
Ches Bonnell;India;Choco Coated Almonds;$3.262 ;75
Gunar Cockshoot;Canada;White Choc;$3.339 ;39
Curtice Advani;India;Manuka Honey Choco;$3.339 ;75
Gigi Bohling;Canada;Eclairs;$3.339 ;348
Carla Molina;New Zealand;Orange Choco;$3.388 ;123
Curtice Advani;India;70% Dark Bites;$3.402 ;366
Oby Sorrel;USA;50% Dark Bites;$3.472 ;96
Brien Boise;India;Smooth Sliky Salty;$3.507 ;288
Barr Faughny;Australia;Almond Choco;$3.549 ;3
Curtice Advani;New Zealand;Caramel Stuffed Bars;$3.556 ;459
Brien Boise;USA;70% Dark Bites;$3.598 ;81
Gunar Cockshoot;UK;Manuka Honey Choco;$3.640 ;51
Gunar Cockshoot;India;Caramel Stuffed Bars;$3.689 ;312
Brien Boise;Australia;Choco Coated Almonds;$3.752 ;213
Curtice Advani;India;Eclairs;$3.759 ;150
Gunar Cockshoot;Canada;Fruit & Nut Bars;$3.773 ;165
Ram Mahesh;India;Peanut Butter Cubes;$3.794 ;159
Oby Sorrel;USA;Drinking Coco;$3.808 ;279
Ches Bonnell;India;Raspberry Choco;$3.829 ;24
Husein Augar;Australia;White Choc;$3.850 ;102
Curtice Advani;USA;Organic Choco Syrup;$3.864 ;177
Husein Augar;UK;85% Dark Bars;$3.920 ;306
Carla Molina;UK;50% Dark Bites;$3.976 ;72
Gunar Cockshoot;New Zealand;Eclairs;$3.983 ;144
Barr Faughny;UK;Peanut Butter Cubes;$4.018 ;126
Ram Mahesh;India;99% Dark & Pure;$4.018 ;162
Gigi Bohling;UK;85% Dark Bars;$4.018 ;171
Oby Sorrel;India;After Nines;$4.053 ;24
Husein Augar;Australia;85% Dark Bars;$4.137 ;60
Curtice Advani;India;Organic Choco Syrup;$4.242 ;207
Husein Augar;New Zealand;White Choc;$4.305 ;156
Curtice Advani;Canada;Milk Bars;$4.319 ;30
Barr Faughny;Australia;Smooth Sliky Salty;$4.326 ;348
Barr Faughny;Australia;Fruit & Nut Bars;$4.417 ;153
Ram Mahesh;Canada;Milk Bars;$4.424 ;201
Ches Bonnell;UK;Eclairs;$4.438 ;246
Gigi Bohling;USA;Manuka Honey Choco;$4.480 ;357
Ches Bonnell;New Zealand;Eclairs;$4.487 ;111
Ches Bonnell;New Zealand;Mint Chip Choco;$4.487 ;333
Ches Bonnell;USA;99% Dark & Pure;$4.585 ;240
Gunar Cockshoot;New Zealand;Manuka Honey Choco;$4.592 ;324
Ches Bonnell;USA;50% Dark Bites;$4.606 ;63
Oby Sorrel;New Zealand;Fruit & Nut Bars;$4.683 ;30
Ram Mahesh;USA;Mint Chip Choco;$4.725 ;174
Gigi Bohling;USA;Smooth Sliky Salty;$4.753 ;246
Brien Boise;USA;Organic Choco Syrup;$4.753 ;300
Carla Molina;USA;Milk Bars;$4.760 ;69
Curtice Advani;USA;70% Dark Bites;$4.781 ;123
Barr Faughny;UK;Raspberry Choco;$4.802 ;36
Oby Sorrel;UK;Spicy Special Slims;$4.858 ;279
Carla Molina;India;Fruit & Nut Bars;$4.935 ;126
Curtice Advani;New Zealand;Fruit & Nut Bars;$4.949 ;189
Gunar Cockshoot;UK;Baker's Choco Chips;$4.956 ;171
Curtice Advani;Canada;Eclairs;$4.970 ;156
Oby Sorrel;India;Baker's Choco Chips;$4.991 ;9
Gigi Bohling;New Zealand;50% Dark Bites;$4.991 ;12
Brien Boise;USA;After Nines;$5.012 ;210
Brien Boise;Canada;Fruit & Nut Bars;$5.019 ;150
Ram Mahesh;India;Eclairs;$5.019 ;156
Gigi Bohling;Australia;Choco Coated Almonds;$5.075 ;21
Ches Bonnell;USA;Caramel Stuffed Bars;$5.194 ;288
Gigi Bohling;UK;Baker's Choco Chips;$5.236 ;51
Ches Bonnell;New Zealand;Baker's Choco Chips;$5.306 ;0
Oby Sorrel;India;99% Dark & Pure;$5.355 ;204
Ram Mahesh;Canada;White Choc;$5.439 ;30
Gigi Bohling;Australia;99% Dark & Pure;$5.474 ;168
Ches Bonnell;Canada;Manuka Honey Choco;$5.551 ;252
Oby Sorrel;Australia;50% Dark Bites;$5.586 ;525
Ram Mahesh;Australia;Milk Bars;$5.670 ;297
Ches Bonnell;Australia;Caramel Stuffed Bars;$5.677 ;258
Ram Mahesh;UK;Raspberry Choco;$5.775 ;42
Ram Mahesh;UK;After Nines;$5.817 ;12
Carla Molina;Australia;After Nines;$5.915 ;3
Barr Faughny;UK;Caramel Stuffed Bars;$6.027 ;144
Curtice Advani;UK;Eclairs;$6.048 ;27
Gigi Bohling;Canada;Drinking Coco;$6.111 ;3
Curtice Advani;Canada;Choco Coated Almonds;$6.118 ;9
Carla Molina;Canada;70% Dark Bites;$6.118 ;174
Ram Mahesh;Australia;Almond Choco;$6.125 ;102
Ram Mahesh;New Zealand;Organic Choco Syrup;$6.132 ;93
Gigi Bohling;Canada;Milk Bars;$6.146 ;63
Brien Boise;New Zealand;Baker's Choco Chips;$6.279 ;45
Gigi Bohling;India;After Nines;$6.279 ;237
Gunar Cockshoot;India;White Choc;$6.300 ;42
Gigi Bohling;Canada;Fruit & Nut Bars;$6.314 ;15
Ram Mahesh;UK;Organic Choco Syrup;$6.370 ;30
Ches Bonnell;New Zealand;Peanut Butter Cubes;$6.391 ;48
Carla Molina;New Zealand;85% Dark Bars;$6.398 ;102
Brien Boise;Australia;Spicy Special Slims;$6.433 ;78
Ches Bonnell;New Zealand;70% Dark Bites;$6.454 ;54
